Download date: 2026-02-01
Location: United Kingdom
Time frame: Oct 2025 – Jan 2026
Audience: GenZ Students (18-24)
NOTE: SYNTHETIC DEMO DATA – for demo and UX validation purposes only. Do not treat as production evidence.
NOTE: Fast Rising family/kids searches (school holidays, Disney+, animated films) are deliberate proof rows — they explain why Family & Kids surfaces as an adjacent playground despite a GenZ student audience.

Month start date,Item type,Item,Query trend,Indexed searches,Monthly search volume,YoY Growth for total searches,MoM Growth for total searches
2025-10-01,Query,city break uk,Fast Rising,188,26400,0.42,0.10
2025-10-01,Query,airbnb weekend,Fast Rising,176,18800,0.38,0.09
2025-10-01,Query,weekend trip ideas,Fast Rising,168,22400,0.35,0.08
2025-10-01,Query,staycation uk,Sustained,148,31200,0.19,0.02
2025-10-01,Query,holiday booking,Sustained,142,38800,0.16,0.02
2025-10-01,Query,tiktok creator,Fast Rising,172,19400,0.36,0.09
2025-10-01,Query,viral content,Fast Rising,165,16800,0.33,0.08
2025-10-01,Query,social trends,Sustained,144,14200,0.18,0.02
2025-10-01,Query,netflix new releases,Top,131,44800,0.08,0.00
2025-10-01,Query,cinema releases,Top,128,28600,0.06,0.00
2025-10-01,Query,school holiday activities,Fast Rising,181,21800,0.40,0.11
2025-10-01,Query,disney+ family,Fast Rising,174,17600,0.37,0.10
2025-10-01,Query,animated films 2025,Fast Rising,166,14200,0.33,0.08
2025-10-01,Query,eating out deals,Top,118,22400,0.04,0.00
2025-10-01,Query,food delivery,Top,122,48800,-0.02,0.00
2025-11-01,Query,city break uk,Fast Rising,198,28200,0.46,0.12
2025-11-01,Query,airbnb weekend,Fast Rising,186,20400,0.41,0.10
2025-11-01,Query,weekend trip ideas,Fast Rising,177,24200,0.38,0.09
2025-11-01,Query,christmas city break,Fast Rising,214,18800,0.54,0.16
2025-11-01,Query,holiday booking,Sustained,148,40400,0.18,0.02
2025-11-01,Query,tiktok creator,Fast Rising,181,20800,0.39,0.10
2025-11-01,Query,viral videos,Fast Rising,174,18200,0.36,0.09
2025-11-01,Query,netflix binge,Sustained,138,38800,0.14,0.02
2025-11-01,Query,franchise film release,Top,134,24200,0.07,0.00
2025-11-01,Query,school holidays christmas,Fast Rising,238,34400,0.66,0.20
2025-11-01,Query,disney+ christmas,Fast Rising,221,22800,0.58,0.18
2025-11-01,Query,family day out christmas,Fast Rising,206,18400,0.51,0.15
2025-11-01,Query,restaurant christmas menu,Sustained,128,26400,0.11,0.02
2025-11-01,Query,food delivery deals,Declining,108,44200,-0.08,-0.03
2025-12-01,Query,city break new year,Fast Rising,208,24600,0.51,0.14
2025-12-01,Query,airbnb new year,Fast Rising,198,18800,0.47,0.13
2025-12-01,Query,weekend trip january,Fast Rising,184,21400,0.42,0.11
2025-12-01,Query,school holidays 2026,Fast Rising,248,38400,0.70,0.22
2025-12-01,Query,disney plus,Sustained,171,48400,0.28,0.04
2025-12-01,Query,animated film christmas,Fast Rising,196,16200,0.48,0.14
2025-12-01,Query,tiktok viral,Fast Rising,178,22400,0.38,0.10
2025-12-01,Query,netflix,Top,138,68400,0.06,0.00
2025-12-01,Query,eating out,Declining,112,24800,-0.06,-0.02
2026-01-01,Query,city break,Fast Rising,191,29800,0.44,0.11
2026-01-01,Query,airbnb,Sustained,158,42400,0.22,0.03
2026-01-01,Query,spring weekend away,Fast Rising,178,22800,0.39,0.10
2026-01-01,Query,tiktok creator economy,Fast Rising,186,17200,0.42,0.11
2026-01-01,Query,meme format,Emerging,161,12400,0.29,0.07
2026-01-01,Query,spring half term,Fast Rising,194,26400,0.46,0.13
2026-01-01,Query,disney+ new series,Fast Rising,182,19800,0.40,0.11
2026-01-01,Query,netflix series,Top,134,52400,0.07,0.00
2026-01-01,Query,food delivery,Declining,104,46800,-0.12,-0.04
